Issuers,StepName,Size_bytes
4,Total VC Payloads,191020
4,Final VP,337421
8,Total VC Payloads,382040
8,Final VP,674083
16,Total VC Payloads,764080
16,Final VP,1347405
32,Total VC Payloads,1528160
32,Final VP,2694051
64,Total VC Payloads,3056320
64,Final VP,5387341
128,Total VC Payloads,6112640
128,Final VP,10773923
256,Total VC Payloads,12225280
256,Final VP,21547085
