Issuers,StepName,Size_bytes
2,Total VC Payloads,32100
2,Final VP,75665
4,Total VC Payloads,64200
4,Final VP,150569
8,Total VC Payloads,128400
8,Final VP,300379
16,Total VC Payloads,256800
16,Final VP,599997
32,Total VC Payloads,513600
32,Final VP,1199235
2,Total VC Payloads,32100
2,Final VP,75665
4,Total VC Payloads,64200
4,Final VP,150569
8,Total VC Payloads,128400
8,Final VP,300379
